1,01111,PERTANIAN TANAMAN JAGUNG,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,satu kesatuan kegiatan tanaman serealia jagung.,,,
2,01112,PERTANIAN TANAMAN GANDUM,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman serealia gandum, seperti sorgum/cantel, gandum",,,
"",,"(wheat/oats), jelai (barley), gandum hitam (rye), jawawut (millet) dan sejenisnya.",,,
3,01113,PERTANIAN TANAMAN KEDELAI,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,satu kesatuan kegiatan tanaman kedelai (kacang palawija).,,,
4,01114,PERTANIAN TANAMAN KACANG TANAH,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,satu kesatuan kegiatan tanaman kacang tanah (kacang palawija).,,,
5,01115,PERTANIAN TANAMAN KACANG HIJAU,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,satu kesatuan kegiatan tanaman kacang hijau (kacang palawija).,,,
6,01116,PERTANIAN TANAMAN KACANG-KACANGAN HORTIKULTURA,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman tanaman kacang-kacangan hortikultura, seperti",,,
"",,"buncis, buncis besar, kacang panjang, kacang merah, gude, kara, kapri, kecipir,",,,
"",,"cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman kacang-",,,
"",,kacangan lainnya.,,,
7,01117,PERTANIAN TANAMAN BIJI-BIJIAN PENGHASIL MINYAK MAKAN,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman biji­bijian penghasil minyak makan, seperti biji",,,
"",,"wijen, biji bunga matahari dan tanaman biji-bijian penghasil minyak makan",,,
"",,lainnya.,,,
8,01118,PERTANIAN TANAMAN BIJI-BIJIAN PENGHASIL BUKAN MINYAK MAKAN,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman biji­bijian penghasil bukan minyak makan, seperti",,,
"",,"biji kapas, biji castor, biji rami, biji mustard, niger seeds, biji jarak dan tanaman",,,
"",,biji-bijian penghasil bukan minyak makan lainnya.,,,
9,01119,"PERTANIAN TANAMAN SEREALIA LAINNYA, KACANG­KACANGAN DAN BIJI-BIJIAN",,,
"",,PENGHASIL MINYAK LAINNYA,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman serealia lainnya bukan padi, jagung dan gandum,",,,
"",,tanaman kacang­kacangan palawija lainnya dan pertanian tanaman lainnya yang,,,
"",,belum diklasifikasikan pada kelompok 01111 s.d. 01118.,,,
10,01120,PERTANIAN PADI,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen",,,
"",,jika menjadi satu kesatuan kegiatan tanaman padi baik padi sawah dan padi,,,
"",,ladang sampai dengan dihasilkan produk gabah kering basah (GKB). Budidaya ikan,,,
"",,di sawah (mina padi) digolongkan dalam kegiatan perikanan.,,,
11,01131,PERTANIAN TANAMAN HORTIKULTURA SAYURAN DAUN,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan, dan pasca panen jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman hortikultura sayuran yang dipanen sekali, seperti",,,
"",,"petsai/sawi, asparagus, kubis/kol, kembang kol dan brokoli, selada dan",,,
"",,"seledri/chicory, daun bawang, paprika, petsai/sawii, bayam, kangkung, tumbuhan",,,
"",,yang bunganya dimakan sebagai sayur dan sayuran daun dan batang lainnya.,,,
"",,Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam,,,
"",,kelompok ini.,,,
12,01132,PERTANIAN TANAMAN HORTIKULTURA BUAH,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, pemanenan dan pasca panen jika menjadi satu",,,
"",,"kesatuan kegiatan tanaman hortikultura buah, seperti semangka, belewah, melon,",,,
"",,timun suri dan sejenisnya.,,,
13,01133,PERTANIAN TANAMAN HORTIKULTURA SAYURAN BUAH,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
